timestamp,elapsed_time,phase,error_x,error_y,error_z,error_magnitude,rmse_x,rmse_y,rmse_z,rmse_total,iae_x,iae_y,itae_x,itae_y,settling_time,is_settled,max_overshoot_x,max_overshoot_y
1762446966.39839,0.939141648,1,-10.423130645629808,-0.533121940060964,0.5008333333337808,-10.433333333333334,-0.5279491924311226,1.4566666666666666,0.010202687703525726,-0.005172747629841434,-0.9558333333328858,0.9559017801346921,0.006687433687300145,0.012982373451479307,0.955833333332819,0.9559448859112555,0.0003044375918559529,0.0005913125410242506,0.0,0.0,0.0,0,0.0,0.0
1762446966.4903011,1.03158316,1,-10.38992356556032,-0.5120190641208553,0.5008333333336049,-10.399999999999999,-0.5079491924311226,1.46,0.01007643443967865,-0.004069871689732718,-0.959166666666395,0.9592282277073123,0.006681755555421494,0.011861682142041866,0.959166666666339,0.9592632797122785,0.00029925459363279395,0.0005294680838245138,0.0,0.0,0.0,0,0.0,0.0
1762446966.590663,1.131904916,1,-10.35437608140749,-0.48940010692946617,0.5008333333334474,-10.366666666666667,-0.487949192431123,1.4633333333333334,0.012290585259176368,-0.0014509144983431699,-0.962499999999886,0.9625795622381951,0.006348700050476899,0.008368358962017796,0.9624999999998466,0.9625573153967263,0.00022303930287074003,0.0003489840063067441,0.0,0.0,0.0,0,0.0,0.0
1762446966.6913674,1.232580784,1,-10.31982264023274,-0.46736297500216156,0.5008333333333302,-10.333333333333332,-0.467949192431123,1.4666666666666668,0.013510693100592164,0.0005862174289614219,-0.9658333333333365,0.965928004696373,0.006995213793119257,0.0063101737269119,0.9658333333333087,0.965879277697894,0.00021620403580469727,0.00025932236849156965,0.0,0.0,0.0,0,0.0,0.0
1762446966.790964,1.33217279,1,-10.288050814815143,-0.44705452789489275,0.500833333333258,-10.3,-0.44794919243112297,1.47,0.011949185184857214,0.0008946645362302164,-0.969166666666742,0.9692407395632615,0.0061313526761461595,0.005707826015499513,0.9691666666667251,0.9692028686200601,0.00019644567858882313,0.0002295723456886475,0.0,0.0,0.0,0,0.0,0.0
1762446966.8909183,1.432126855,1,-10.256501533766404,-0.42694401057501985,0.5008333333332177,-10.266666666666666,-0.42794919243112295,1.4733333333333334,0.010165132900262108,0.001005181856103099,-0.9725000000001157,0.9725536439280196,0.005385630049798482,0.005560507839930821,0.9725000000001071,0.9725308088994813,0.00019790815562805087,0.00022374802258784694,0.0,0.0,0.0,0,0.0,0.0
1762446966.9908187,1.532070376,1,-10.224785180388723,-0.40680617659818347,0.5008333333332027,-10.233333333333334,-0.4079491924311225,1.4766666666666666,0.008548152944610976,0.0011430158329390205,-0.9758333333334639,0.9758714422753941,0.005213074329448979,0.0054892201229920345,0.9758333333334616,0.975862696349347,0.00021093967985321875,0.00022085819189289946,0.0,0.0,0.0,0,0.0,0.0
1762446967.0906575,1.63188597,1,-10.193471574835792,-0.3870029720044492,0.5008333333332058,-10.2,-0.38794919243112247,1.48,0.006528425164207263,0.0009462204266732499,-0.9791666666667942,0.9791888871814167,0.005429308955920429,0.005422842953594752,0.9791666666667962,0.9791967349479894,0.0002226881624483052,0.00021359234720725304,0.0,0.0,0.0,0,0.0,0.0
1762446967.190522,1.731767819,1,-10.161894295908168,-0.3671661169881705,0.5008333333332202,-10.166666666666668,-0.3679491924311229,1.4833333333333334,0.004772370758500344,0.0007830754429524189,-0.9825000000001132,0.9825119025894945,0.006360285394966769,0.005571655087468959,0.9825000000001176,0.9825363843496842,0.0002575605436079762,0.0002192939122328767,0.0,0.0,0.0,0,0.0,0.0
1762446967.2910244,1.832246577,1,-10.130057075590717,-0.3471745315137329,0.5008333333332415,-10.133333333333333,-0.3479491924311229,1.4866666666666666,0.0032762577426161954,0.0007746609173899799,-0.985833333333425,0.985839081734755,0.0070675447474036965,0.005426927472784938,0.9858333333334309,0.9858736038873619,0.00027558818844780224,0.00020896823017523735,0.0,0.0,0.0,0,0.0,0.0
